QC SPECIES,QC ABUNDANCE,SITE
Micrura sp,1,B13-9178
Mediomastus sp,1,B13-9178
Metaphoxus frequens,1,B13-9178
Prionospio (Prionospio) ehlersi,2,B13-9178
Amphiuridae,2,B13-9481
Amphioplus sp A,2,B13-9481
Amphiodia digitata,3,B13-9481
Amphiura arcystata,34,B13-9481
Aricidea (Acmira) horikoshii,2,B13-9481
Alvania compacta,1,B13-9481
Aglaophamus verrilli,1,B13-9481
Ampelisca agassizi,4,B13-9481
Ampelisca cristata cristata,5,B13-9481
Amphiodia sp,1,B13-9481
Chaetozone sp SD3,2,B13-9481
Compsomyax subdiaphana,2,B13-9481
Dialychone albocincta,1,B13-9481
Cylichna diegensis,5,B13-9481
Asteropella slatteryi,1,B13-9481
Ceriantharia,1,B13-9481
Exogone lourei,1,B13-9481
Euphilomedes carcharodonta,2,B13-9481
Euclymeninae,1,B13-9481
Goniada maculata,4,B13-9481
Glycera sp,2,B13-9481
Glycera americana,1,B13-9481
Glycinde armigera,1,B13-9481
Foxiphalus obtusidens,1,B13-9481
Glottidia albida,1,B13-9481
Gadila aberrans,8,B13-9481
Gammaropsis thompsoni,1,B13-9481
Leptochelia dubia Cmplx,1,B13-9481
Kurtiella tumida,141,B13-9481
Kurtzina beta,1,B13-9481
Kurtiella compressa,1,B13-9481
Hinea insculpta,1,B13-9481
Macoma sp,3,B13-9481
Lumbrineris japonica,1,B13-9481
Mediomastus sp,26,B13-9481
Magelona sacculata,2,B13-9481
Magelona berkeleyi,8,B13-9481
Malmgreniella macginitiei,6,B13-9481
Westwoodilla tone,1,B13-9481
Zygeupolia rubens,1,B13-9481
Tellina modesta,17,B13-9481
Volvulella panamica,1,B13-9481
Virgulariidae,1,B13-9481
Tubulanus sp A,1,B13-9481
Tubulanus polymorphus,1,B13-9481
Scoloplos sp,3,B13-9481
Spiophanes norrisi,1,B13-9481
Spiochaetopterus costarum Cmplx,7,B13-9481
Spiophanes duplex,1,B13-9481
Prionospio (Prionospio) jubata,2,B13-9481
Rhepoxynius bicuspidatus,7,B13-9481
Rhepoxynius menziesi,2,B13-9481
Rutiderma sp,1,B13-9481
Rhepoxynius stenodes,12,B13-9481
Rhepoxynius variatus,22,B13-9481
Monticellina siblina,5,B13-9481
Nephtys caecoides,2,B13-9481
Monticellina cryptica,2,B13-9481
Opiura sarsi,1,B13-9481
Onuphis sp A,1,B13-9481
Nephtys ferruginea,1,B13-9481
Nuculana taphria,3,B13-9481
Paraprionospio alata,1,B13-9481
Paranemertes californica,1,B13-9481
Parvilucina tenuisculpta,1,B13-9481
Pectinaria californiensis,1,B13-9481
Pholoe glabra,9,B13-9481
Pista wui,2,B13-9481
Podarkeopsis glabrus,1,B13-9481
Poecilochaetus johnsoni,6,B13-9481
Prionospio (Minuspio) lighti,43,B13-9481
Pinnotheridae,2,B13-9481
