,QC SPECIES,QC ABUNDANCE,SITE
69,Anoplodactylus erectus,1,B13-8328
70,Amphipoda,2,B13-8328
71,Anopla,1,B13-8328
72,Amphiodia sp,1,B13-8328
73,Amphideutopus oculatus,105,B13-8328
74,Amphicteis scaphobranchiata,1,B13-8328
75,Ampharete sp,2,B13-8328
76,Ampelisca agassizi,1,B13-8328
77,Acteocina inculta,4,B13-8328
78,Decapoda,1,B13-9173
79,Cossura candida,2,B13-9173
80,Chloeia pinnata,3,B13-9173
81,Clymenura gracilis,1,B13-9173
82,Chaetopteridae,10,B13-9173
83,Byblis millsi,3,B13-9173
84,Amphiuridae,2,B13-9173
85,Aphelochaeta glandaria Cmplx,2,B13-9173
86,Anobothrus gracilis,2,B13-9173
87,Aphelochaeta sp,4,B13-9173
88,Aphelochaeta monilaris,4,B13-9173
89,Amphiodia sp,6,B13-9173
90,Amphiodia urtica,58,B13-9173
91,Aglaophamus verrilli,2,B13-9173
92,Ampelisca brevisimulata,1,B13-9173
93,Ampelisca careyi,2,B13-9173
94,Ampelisca pacifica,3,B13-9173
95,Lumbrineridae,1,B13-9173
96,Lumbrineris sp,5,B13-9173
97,Lysippe sp,1,B13-9173
98,Maldane sarsi,2,B13-9173
99,Malmgreniella sanpedroensis,2,B13-9173
100,Malmgreniella sp,1,B13-9173
101,Heterophoxus sp,1,B13-9173
102,Levinsenia gracilis,1,B13-9173
103,Listriolobus pelodes,4,B13-9173
104,Gymnonereis crosslandi,1,B13-9173
105,Goniada brunnea,2,B13-9173
106,Heterophoxus ellisi,1,B13-9173
107,Heterophoxus oculatus,12,B13-9173
108,Glycera nana,2,B13-9173
109,Glycinde armigera,1,B13-9173
110,Euclymeninae sp A,3,B13-9173
111,Euclymeninae,3,B13-9173
112,Edwardsiidae,1,B13-9173
113,Ennucula tenuis,2,B13-9173
114,Sipuncula,1,B13-9173
115,Scoletoma tetraura Cmplx,6,B13-9173
116,Stylatula elongata,1,B13-9173
117,Sthenelanella uniformis,2,B13-9173
118,Spiophanes sp,3,B13-9173
119,Sternaspis affinis,2,B13-9173
120,Spiophanes duplex,5,B13-9173
121,Spiophanes berkeleyorum,1,B13-9173
122,Protomedeia articulata Cmplx,1,B13-9173
123,Rhepoxynius bicuspidatus,3,B13-9173
124,Scoletoma sp,6,B13-9173
125,Terebellides californica,1,B13-9173
126,Tubulanidae sp C,1,B13-9173
127,Virgularia sp,1,B13-9173
128,Volvulella panamica,1,B13-9173
129,Zygeupolia rubens,1,B13-9173
130,Nicippe tumida,1,B13-9173
131,Nephtys simoni,3,B13-9173
132,Mediomastus sp,2,B13-9173
133,Lysippe sp B,1,B13-9173
134,Monticellina tesselata,2,B13-9173
135,Monticellina cryptica,2,B13-9173
136,Poecilochaetus martini,1,B13-9173
137,Pinnotheridae,1,B13-9173
138,Pectinaria californiensis,1,B13-9173
139,Petaloclymene pacifica,9,B13-9173
140,Pholoe glabra,7,B13-9173
141,Paramage scutata,1,B13-9173
142,Paraprionospio alata,1,B13-9174
143,Pectinaria californiensis,2,B13-9174
144,Pista wui,1,B13-9174
145,Prionospio (Prionospio) ehlersi,1,B13-9174
146,Melinna heterodonta,2,B13-9174
147,Nuculana conceptionis,1,B13-9174
148,Venerida,1,B13-9174
149,Saxicavella pacifica,3,B13-9174
150,Rhabdus dalli,4,B13-9174
151,Rhabdus rectius,2,B13-9174
152,Spatangus californicus,1,B13-9174
153,Eranno lagunae,1,B13-9174
154,Glycinde armigera,1,B13-9174
155,Malmgreniella scriptoria,1,B13-9174
156,Macoma carlottensis,7,B13-9174
157,Lumbrineris sp,1,B13-9174
158,Aglaophamus erectans,1,B13-9174
159,Aphelochaeta monilaris,21,B13-9174
160,Araphura cuspirostris,1,B13-9174
161,Bipalponephtys cornuta,1,B13-9174
162,Chloeia pinnata,6,B13-9174
163,Chaetoderma nanulum,1,B13-9174
164,Chloeia pinnata,13,B13-9178
165,Dentaliida,1,B13-9178
166,Bipalponephtys cornuta,2,B13-9178
167,Brisaster townsendi,1,B13-9178
168,Aphelochaeta monilaris,1,B13-9178
169,Ancistrosyllis groenlandica,1,B13-9178
170,Ampelisca unsocalae,1,B13-9178
171,Lumbrineris sp,1,B13-9178
172,Macoma carlottensis,16,B13-9178
173,Heteromastus filobranchus,6,B13-9178
174,Kurtiella compressa,2,B13-9178
175,Glycinde armigera,2,B13-9178
176,Glycera nana,1,B13-9178
177,Heterophoxus ellisi,1,B13-9178
178,Hesperonoe laevis,1,B13-9178
179,Heteromastus sp,5,B13-9178
180,Enteropneusta,1,B13-9178
181,Falcidens hartmanae,2,B13-9178
182,Saxicavella pacifica,14,B13-9178
183,Saccoglossus sp,1,B13-9178
184,Nuculana conceptionis,2,B13-9178
185,Melinna heterodonta,5,B13-9178
186,Micrura sp,1,B13-9178
187,Mediomastus sp,1,B13-9178
188,Metaphoxus frequens,1,B13-9178
189,Prionospio (Prionospio) ehlersi,2,B13-9178
190,Amphiuridae,2,B13-9481
191,Amphioplus sp A,2,B13-9481
192,Amphiodia digitata,3,B13-9481
193,Amphiura arcystata,34,B13-9481
194,Aricidea (Acmira) horikoshii,2,B13-9481
195,Alvania compacta,1,B13-9481
196,Aglaophamus verrilli,1,B13-9481
197,Ampelisca agassizi,4,B13-9481
198,Ampelisca cristata cristata,5,B13-9481
199,Amphiodia sp,1,B13-9481
200,Chaetozone sp SD3,2,B13-9481
201,Compsomyax subdiaphana,2,B13-9481
202,Dialychone albocincta,1,B13-9481
203,Cylichna diegensis,5,B13-9481
204,Asteropella slatteryi,1,B13-9481
205,Ceriantharia,1,B13-9481
206,Exogone lourei,1,B13-9481
207,Euphilomedes carcharodonta,2,B13-9481
208,Euclymeninae,1,B13-9481
209,Goniada maculata,4,B13-9481
210,Glycera sp,2,B13-9481
211,Glycera americana,1,B13-9481
212,Glycinde armigera,1,B13-9481
213,Foxiphalus obtusidens,1,B13-9481
214,Glottidia albida,1,B13-9481
215,Gadila aberrans,8,B13-9481
216,Gammaropsis thompsoni,1,B13-9481
217,Leptochelia dubia Cmplx,1,B13-9481
218,Kurtiella tumida,141,B13-9481
219,Kurtzina beta,1,B13-9481
220,Kurtiella compressa,1,B13-9481
221,Hinea insculpta,1,B13-9481
222,Macoma sp,3,B13-9481
223,Lumbrineris japonica,1,B13-9481
224,Mediomastus sp,26,B13-9481
225,Magelona sacculata,2,B13-9481
226,Magelona berkeleyi,8,B13-9481
227,Malmgreniella macginitiei,6,B13-9481
228,Westwoodilla tone,1,B13-9481
229,Zygeupolia rubens,1,B13-9481
230,Tellina modesta,17,B13-9481
231,Volvulella panamica,1,B13-9481
232,Virgulariidae,1,B13-9481
233,Tubulanus sp A,1,B13-9481
234,Tubulanus polymorphus,1,B13-9481
235,Scoloplos sp,3,B13-9481
236,Spiophanes norrisi,1,B13-9481
237,Spiochaetopterus costarum Cmplx,7,B13-9481
238,Spiophanes duplex,1,B13-9481
239,Prionospio (Prionospio) jubata,2,B13-9481
240,Rhepoxynius bicuspidatus,7,B13-9481
241,Rhepoxynius menziesi,2,B13-9481
242,Rutiderma sp,1,B13-9481
243,Rhepoxynius stenodes,12,B13-9481
244,Rhepoxynius variatus,22,B13-9481
245,Monticellina siblina,5,B13-9481
246,Nephtys caecoides,2,B13-9481
247,Monticellina cryptica,2,B13-9481
248,Opiura sarsi,1,B13-9481
249,Onuphis sp A,1,B13-9481
250,Nephtys ferruginea,1,B13-9481
251,Nuculana taphria,3,B13-9481
252,Paraprionospio alata,1,B13-9481
253,Paranemertes californica,1,B13-9481
254,Parvilucina tenuisculpta,1,B13-9481
255,Pectinaria californiensis,1,B13-9481
256,Pholoe glabra,9,B13-9481
257,Pista wui,2,B13-9481
258,Podarkeopsis glabrus,1,B13-9481
259,Poecilochaetus johnsoni,6,B13-9481
260,Prionospio (Minuspio) lighti,43,B13-9481
261,Pinnotheridae,2,B13-9481
