,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,SITE
133,Paramage scutata,1,,B13-9173
134,Amphiuridae,2,,B13-9173
135,Ophiura luetkenii,1,,B13-9173
136,Nuculana sp A,3,3.0,B13-9173
137,Nicippe tumida,2,1.0,B13-9173
138,Nephtys ferruginea,1,,B13-9173
139,Nephtys caecoides,2,,B13-9173
140,Nebalia pugettensis Cmplx,1,1.0,B13-9173
141,Monticellina tesselata,2,,B13-9173
142,Monticellina cryptica,2,,B13-9173
143,Amphiodia urtica,53,,B13-9173
144,Metasychis disparidentatus,1,,B13-9173
145,Amphiodia sp,11,,B13-9173
146,Mediomastus sp,1,,B13-9173
147,Malmgreniella sp A,1,,B13-9173
148,Malmgreniella sanpedroensis,3,,B13-9173
149,Maldanidae,6,,B13-9173
150,Maldane sarsi,1,,B13-9173
151,Macoma carlottensis,2,2.0,B13-9173
152,Lysippe sp B,1,,B13-9173
153,Lysippe sp,1,,B13-9173
154,Lyonsia californica,1,1.0,B13-9173
155,Lumbrineris sp,3,,B13-9173
156,Lumbrineris cruzensis,3,,B13-9173
157,Listriolobus pelodes,4,,B13-9173
158,Levinsenia gracilis,1,,B13-9173
159,Lanassa gracilis,1,1.0,B13-9173
160,Kurtzina beta,2,2.0,B13-9173
161,Ampelisca pacifica,3,,B13-9173
162,Heterophoxus oculatus,6,,B13-9173
163,Heterophoxus ellisi,8,,B13-9173
164,Ampelisca careyi,2,,B13-9173
165,Ampelisca brevisimulata,1,,B13-9173
166,Gymnonereis crosslandi,1,,B13-9173
167,Goniada brunnea,2,,B13-9173
168,Glycinde armigera,1,,B13-9173
169,Glycera oxycephala,1,1.0,B13-9173
170,Glycera nana,2,,B13-9173
171,ARTHROPODA,1,,B13-9173
172,Eranno bicirrata,1,,B13-9174
173,Diastylis pellucida,1,1.0,B13-9174
174,Dentalium vallicolens,4,,B13-9174
175,Aglaophamus verrilli,1,,B13-9174
176,Chloeia pinnata,6,,B13-9174
177,Copepoda,1,,B13-9174
178,Brissopsis sp LA1,2,1.0,B13-9174
179,Brisaster townsendi,1,1.0,B13-9174
180,Araphura cuspirostris,2,1.0,B13-9174
181,Chaetoderma nanulum,1,,B13-9174
182,Aphelochaeta monilaris,22,,B13-9174
183,Saxicavella pacifica,3,,B13-9174
184,Rhabdus rectius,2,,B13-9174
185,Prionospio (Prionospio) ehlersi,1,,B13-9174
186,Pista wui,1,,B13-9174
187,Pectinaria californiensis,2,,B13-9174
188,Paraprionospio alata,1,,B13-9174
189,Nuculana conceptionis,1,,B13-9174
190,Nephtys caecoides,1,,B13-9174
191,Melinna heterodonta,2,,B13-9174
192,Malmgreniella sp,1,,B13-9174
193,Macoma carlottensis,7,,B13-9174
194,Lumbrineris cruzensis,1,,B13-9174
195,Heterophoxus ellisi,1,1.0,B13-9174
196,Glycinde armigera,1,,B13-9174
197,Onuphis iridescens,3,3.0,B13-9178
198,Dentalium vallicolens,2,2.0,B13-9178
199,Cirratulus multioculatus,1,1.0,B13-9178
200,Chloeia pinnata,14,,B13-9178
201,Brisaster townsendi,1,,B13-9178
202,Bivalvia,1,,B13-9178
203,Arhynchite californicus,1,1.0,B13-9178
204,Saccoglossus sp,3,1.0,B13-9178
205,Aphelochaeta williamsae,1,,B13-9178
206,Aphelochaeta monilaris,3,,B13-9178
207,Scaphopoda,1,,B13-9178
208,Saxicavella pacifica,14,,B13-9178
209,Kurtiella tumida,2,,B13-9178
210,Rhabdus rectius,2,2.0,B13-9178
211,Prionospio (Prionospio) ehlersi,2,,B13-9178
212,Phoxocephalidae,1,,B13-9178
213,Ancistrosyllis groenlandica,1,,B13-9178
214,Nuculana conceptionis,2,,B13-9178
215,Bipalponephtys cornuta,2,,B13-9178
216,Melinna heterodonta,6,,B13-9178
217,Mediomastus sp,2,,B13-9178
218,Macoma carlottensis,15,,B13-9178
219,Lumbrineris cruzensis,1,,B13-9178
220,Micrura alaskensis,1,,B13-9178
221,Ampelisca unsocalae,1,,B13-9178
222,Heteromastus filobranchus,10,,B13-9178
223,Hesperonoe laevis,1,,B13-9178
224,Glycinde armigera,2,,B13-9178
225,Glycera nana,1,,B13-9178
226,Foxiphalus sp,1,1.0,B13-9178
227,Falcidens hartmanae,2,,B13-9178
228,Caesia sp,1,,B13-9481
229,Asteropella slatteryi,3,2.0,B13-9481
230,Porichthys sp,1,1.0,B13-9481
231,Euclymeninae,1,,B13-9481
232,Ensis myrae,1,1.0,B13-9481
233,Aglaophamus verrilli,1,,B13-9481
234,Cylichna diegensis,4,,B13-9481
235,Compsomyax subdiaphana,2,,B13-9481
236,Dialychone albocincta,1,,B13-9481
237,Chaetozone columbiana,2,,B13-9481
238,Ceriantharia,1,,B13-9481
239,Aricidea (Acmira) horikoshii,2,,B13-9481
240,Westwoodilla tone,1,,B13-9481
241,Volvulella panamica,1,,B13-9481
242,Tubulanus polymorphus,2,,B13-9481
243,Tellina modesta,17,,B13-9481
244,Spiophanes duplex,1,,B13-9481
245,Spiophanes norrisi,1,,B13-9481
246,Spiochaetopterus costarum Cmplx,7,,B13-9481
247,Sinum scopulosum,1,1.0,B13-9481
248,Scoloplos acmeceps,1,,B13-9481
249,Rutiderma rostratum,1,,B13-9481
250,Kurtiella tumida,142,,B13-9481
251,Kurtiella compressa,1,,B13-9481
252,Rhepoxynius variatus,47,21.0,B13-9481
253,Rhepoxynius stenodes,12,,B13-9481
254,Rhepoxynius menziesi,3,,B13-9481
255,Rhepoxynius bicuspidatus,9,,B13-9481
256,Prionospio (Prionospio) jubata,2,,B13-9481
257,Prionospio (Minuspio) lighti,43,,B13-9481
258,Poecilochaetus johnsoni,7,,B13-9481
259,Pista wui,2,,B13-9481
260,Pilargis sp B,1,1.0,B13-9481
261,Pholoe glabra,9,,B13-9481
262,Pennatulacea,1,,B13-9481
263,Pectinaria californiensis,1,,B13-9481
264,Parvilucina tenuisculpta,1,,B13-9481
265,Paraprionospio alata,1,,B13-9481
266,Paranemertes californica,1,,B13-9481
267,Amphiura arcystata,33,,B13-9481
268,Onuphis sp A,1,,B13-9481
269,Oligochaeta,3,,B13-9481
270,Nuculana taphria,3,,B13-9481
271,Nephtys ferruginea,1,,B13-9481
272,Nephtys caecoides,2,,B13-9481
273,Nebalia daytoni,1,1.0,B13-9481
274,Monticellina siblina,4,,B13-9481
275,Amphioplus sp A,2,,B13-9481
276,Monticellina cryptica,2,,B13-9481
277,Amphiodia psara,3,1.0,B13-9481
278,Mediomastus sp,24,,B13-9481
279,Malmgreniella baschi,6,,B13-9481
280,Magelona sacculata,1,,B13-9481
281,Magelona berkeleyi,10,,B13-9481
282,Macoma yoldiformis,3,,B13-9481
283,Lumbrineris japonica,1,,B13-9481
284,Leptochelia dubia Cmplx,1,,B13-9481
285,Leitoscoloplos pugettensis,2,,B13-9481
286,Kurtzina beta,1,,B13-9481
287,Heteronemertea,1,,B13-9481
288,Ampelisca cristata cristata,5,,B13-9481
289,Ampelisca agassizi,4,,B13-9481
290,Goniada maculata,4,,B13-9481
291,Glycinde armigera,1,,B13-9481
292,Glycera nana,2,,B13-9481
293,Glycera americana,1,,B13-9481
294,Glottidia albida,1,,B13-9481
295,Gammaropsis thompsoni,1,,B13-9481
296,Gadila aberrans,8,,B13-9481
297,Foxiphalus obtusidens,1,,B13-9481
298,Exogone lourei,1,,B13-9481
299,Alvania rosana,1,,B13-9481
300,Euphilomedes carcharodonta,2,,B13-9481
