SITE,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,Unnamed: 4,QC SPECIES,QC ABUNDANCE,Match /           Not Match,Type,Lines Involved in Resolve,Discrep Class,Resolve code,Taxa change      (Add / Remove),Abund changes (+/-),Unnamed: 14,Completed by QC officer,Unnamed: 16,Unnamed: 17,RESOLVED SPECIES,RESOLVED ABUNDANCE,Resolution Comments
B13-8328,Mayerella acanthopoda,3,,,Mayerella acanthopoda,2,Not Match,Count,,,,,,,,,,,,
B13-8328,Megalomma pigmentum,29,,,Megalomma pigmentum,42,Not Match,Count,,,,,,,,,,,,
B13-8328,Molgula napiformis,39,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Musculista senhousia,3,,,Musculista senhousia,4,Not Match,Count,,,,,,,,,,,,
B13-8328,Nematoda,5,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Oligochaeta,7,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Paramicrodeutopus schmitti,13,,,Paramicrodeutopus schmitti,14,Not Match,Count,,,,,,,,,,,,
B13-8328,Phyllodoce hartmanae,1,,,Phyllodoce hartmanae,2,Not Match,Count,,,,,,,,,,,,
B13-8328,Phyllodoce sp,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Piromis sp,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Pista brevibranchiata,15,,,Pista brevibranchiata,10,Not Match,Count,,,,,,,,,,,,
B13-8328,Pista wui,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Postasterope barnesi,4,,,Postasterope barnesi,3,Not Match,Count,,,,,,,,,,,,
B13-8328,Prionospio (Prionospio) heterobranchia,5,,,Prionospio (Prionospio) heterobranchia,4,Not Match,Count,,,,,,,,,,,,
B13-8328,Pseudopolydora paucibranchiata,12,,,Pseudopolydora paucibranchiata,11,Not Match,Count,,,,,,,,,,,,
B13-8328,Pyromaia tuberculata,3,2,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Sabellidae,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Scolelepis sp,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Scoletoma sp,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Sphaerosyllis californiensis,1,,,Sphaerosyllis californiensis,2,Not Match,Count,,,,,,,,,,,,
B13-8328,Spiochaetopterus costarum Cmplx,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Spiophanes duplex,22,,,Spiophanes duplex,20,Not Match,Count,,,,,,,,,,,,
B13-8328,Tagelus californianus,8,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Theora lubrica,7,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Tubulanus cingulatus,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Tubulanus polymorphus,3,,,Tubulanus polymorphus,2,Not Match,Count,,,,,,,,,,,,
B13-8328,Tubulanus sp SD1,1,1,,Tubulanus sp SD1,1,Not Match,Count,,,,,,,,,,,,
B13-8328,Zaolutus actius,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,Zeuxo sp,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Acteocina inculta,4,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Ampelisca agassizi,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Ampharete sp,2,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Amphiodia sp,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Amphipoda,2,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Anopla,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Aphelochaeta sp,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Calyptraea fastigiata,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Caprellidae,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Chaetopteridae,2,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Cossura sp,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Decapoda,2,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Ericerodes hemphillii,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Flabelligeridae,2,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Glycera robusta,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Harenactis attenuata,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Leitoscoloplos sp A,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Leptopecten latiauratus,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Lyonsiidae,17,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Melinna oculata,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Molgula sp SD1,38,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Notodelphyidae,2,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Pista sp,6,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Prionospio (Prionospio) sp,2,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Protomima imitatrix,42,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Scolelepis (Parascolelepis) texana,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Scoletoma sp B,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Spiophanes sp,2,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Tagelus sp,8,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Tergipedidae,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Venerida,1,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Veneroidea,5,Not Match,ID,,,,,,,,,,,,
B13-8328,,,,,Zeuxo normani,1,Not Match,ID,,,,,,,,,,,,
B13-8328,Amphicteis scaphobranchiata,1,,,Amphicteis scaphobranchiata,1,Match,,,,,,,,,,,,,
B13-8328,Amphipholis squamata,6,,,Amphipholis squamata,6,Match,,,,,,,,,,,,,
B13-8328,Anoplodactylus erectus,1,,,Anoplodactylus erectus,1,Match,,,,,,,,,,,,,
B13-8328,Bipalponephtys cornuta,1,,,Bipalponephtys cornuta,1,Match,,,,,,,,,,,,,
B13-8328,Bulla gouldiana,1,,,Bulla gouldiana,1,Match,,,,,,,,,,,,,
B13-8328,Caecum californicum,1,,,Caecum californicum,1,Match,,,,,,,,,,,,,
B13-8328,Chrysallida eucosmia,1,1,,,,Match,,,,,,,,,,,,,
B13-8328,Eochelidium sp A,1,,,Eochelidium sp A,1,Match,,,,,,,,,,,,,
B13-8328,Hartmanodes sp SD1,3,3,,,,Match,,,,,,,,,,,,,
B13-8328,Leptochelia dubia Cmplx,4,,,Leptochelia dubia Cmplx,4,Match,,,,,,,,,,,,,
B13-8328,Mediomastus sp,24,,,Mediomastus sp,24,Match,,,,,,,,,,,,,
B13-8328,Microspio pigmentata,1,,,Microspio pigmentata,1,Match,,,,,,,,,,,,,
B13-8328,Monticellina siblina,3,,,Monticellina siblina,3,Match,,,,,,,,,,,,,
B13-8328,Nicolea sp A,1,1,,,,Match,,,,,,,,,,,,,
B13-8328,Paranthura japonica,1,,,Paranthura japonica,1,Match,,,,,,,,,,,,,
B13-8328,Phyllodoce longipes,1,,,Phyllodoce longipes,1,Match,,,,,,,,,,,,,
B13-8328,Polycirrus sp,1,,,Polycirrus sp,1,Match,,,,,,,,,,,,,
B13-8328,Psammotreta obesa,1,,,Psammotreta obesa,1,Match,,,,,,,,,,,,,
B13-8328,Pseudotanais makrothrix,1,1,,,,Match,,,,,,,,,,,,,
B13-8328,Rudilemboides stenopropodus,18,,,Rudilemboides stenopropodus,18,Match,,,,,,,,,,,,,
B13-8328,Zygonemertes virescens,2,,,Zygonemertes virescens,2,Match,,,,,,,,,,,,,
B13-9173,Amphiodia sp,11,,,Amphiodia sp,6,Not Match,Count,,,,,,,,,,,,
B13-9173,Amphiodia urtica,53,,,Amphiodia urtica,58,Not Match,Count,,,,,,,,,,,,
B13-9173,Anopla,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Aphelochaeta williamsae,3,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Asteroidea,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Ceriantharia,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Edwardsia juliae,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Enteropneusta,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Euclymeninae sp A,2,,,Euclymeninae sp A,3,Not Match,Count,,,,,,,,,,,,
B13-9173,Heterophoxus ellisi,8,,,Heterophoxus ellisi,1,Not Match,Count,,,,,,,,,,,,
B13-9173,Heterophoxus oculatus,6,,,Heterophoxus oculatus,12,Not Match,Count,,,,,,,,,,,,
B13-9173,Lumbrineris cruzensis,3,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Lumbrineris sp,3,,,Lumbrineris sp,5,Not Match,Count,,,,,,,,,,,,
B13-9173,Maldane sarsi,1,,,Maldane sarsi,2,Not Match,Count,,,,,,,,,,,,
B13-9173,Maldanidae,6,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Malmgreniella sanpedroensis,3,,,Malmgreniella sanpedroensis,2,Not Match,Count,,,,,,,,,,,,
B13-9173,Malmgreniella sp A,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Mediomastus sp,1,,,Mediomastus sp,2,Not Match,Count,,,,,,,,,,,,
B13-9173,Metasychis disparidentatus,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Nephtys caecoides,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Nephtys ferruginea,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Ophiura luetkenii,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Petaloclymene pacifica,7,,,Petaloclymene pacifica,9,Not Match,Count,,,,,,,,,,,,
B13-9173,Pholoe glabra,6,,,Pholoe glabra,7,Not Match,Count,,,,,,,,,,,,
B13-9173,Pinnixa sp,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Scoletoma sp,1,,,Scoletoma sp,6,Not Match,Count,,,,,,,,,,,,
B13-9173,Scoletoma tetraura Cmplx,11,,,Scoletoma tetraura Cmplx,6,Not Match,Count,,,,,,,,,,,,
B13-9173,Spiochaetopterus costarum Cmplx,9,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Spiophanes kimballi,4,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Spiophanes sp,1,,,Spiophanes sp,3,Not Match,Count,,,,,,,,,,,,
B13-9173,Tubulanus polymorphus,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,Virgularia agassizii,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Aphelochaeta glandaria Cmplx,2,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Aphelochaeta sp,4,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Chaetopteridae,10,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Decapoda,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Edwardsiidae,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Euclymeninae,3,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Heterophoxus sp,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Lumbrineridae,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Malmgreniella sp,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Nephtys simoni,3,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Pinnotheridae,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Sipuncula,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Stylatula elongata,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Tubulanidae sp C,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Virgularia sp,1,Not Match,ID,,,,,,,,,,,,
B13-9173,,,,,Zygeupolia rubens,1,Not Match,ID,,,,,,,,,,,,
B13-9173,Aglaophamus verrilli,2,,,Aglaophamus verrilli,2,Match,,,,,,,,,,,,,
B13-9173,Ampelisca brevisimulata,1,,,Ampelisca brevisimulata,1,Match,,,,,,,,,,,,,
B13-9173,Ampelisca careyi,2,,,Ampelisca careyi,2,Match,,,,,,,,,,,,,
B13-9173,Ampelisca pacifica,3,,,Ampelisca pacifica,3,Match,,,,,,,,,,,,,
B13-9173,Amphiuridae,2,,,Amphiuridae,2,Match,,,,,,,,,,,,,
B13-9173,Anobothrus gracilis,2,,,Anobothrus gracilis,2,Match,,,,,,,,,,,,,
B13-9173,Aphelochaeta monilaris,4,,,Aphelochaeta monilaris,4,Match,,,,,,,,,,,,,
B13-9173,Bathymedon pumilus,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Byblis millsi,3,,,Byblis millsi,3,Match,,,,,,,,,,,,,
B13-9173,Campylaspis canaliculata,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Chloeia pinnata,3,,,Chloeia pinnata,3,Match,,,,,,,,,,,,,
B13-9173,Clymenura gracilis,1,,,Clymenura gracilis,1,Match,,,,,,,,,,,,,
B13-9173,Compsomyax subdiaphana,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Cossura candida,2,,,Cossura candida,2,Match,,,,,,,,,,,,,
B13-9173,Ennucula tenuis,2,,,Ennucula tenuis,2,Match,,,,,,,,,,,,,
B13-9173,Glycera nana,2,,,Glycera nana,2,Match,,,,,,,,,,,,,
B13-9173,Glycera oxycephala,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Glycinde armigera,1,,,Glycinde armigera,1,Match,,,,,,,,,,,,,
B13-9173,Goniada brunnea,2,,,Goniada brunnea,2,Match,,,,,,,,,,,,,
B13-9173,Gymnonereis crosslandi,1,,,Gymnonereis crosslandi,1,Match,,,,,,,,,,,,,
B13-9173,Kurtiella tumida,5,5,,,,Match,,,,,,,,,,,,,
B13-9173,Kurtzina beta,2,2,,,,Match,,,,,,,,,,,,,
B13-9173,Lanassa gracilis,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Levinsenia gracilis,1,,,Levinsenia gracilis,1,Match,,,,,,,,,,,,,
B13-9173,Listriolobus pelodes,4,,,Listriolobus pelodes,4,Match,,,,,,,,,,,,,
B13-9173,Lyonsia californica,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Lysippe sp,1,,,Lysippe sp,1,Match,,,,,,,,,,,,,
B13-9173,Lysippe sp B,1,,,Lysippe sp B,1,Match,,,,,,,,,,,,,
B13-9173,Macoma carlottensis,2,2,,,,Match,,,,,,,,,,,,,
B13-9173,Monticellina cryptica,2,,,Monticellina cryptica,2,Match,,,,,,,,,,,,,
B13-9173,Monticellina tesselata,2,,,Monticellina tesselata,2,Match,,,,,,,,,,,,,
B13-9173,Nebalia pugettensis Cmplx,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Nicippe tumida,2,1,,Nicippe tumida,1,Match,,,,,,,,,,,,,
B13-9173,Nuculana sp A,3,3,,,,Match,,,,,,,,,,,,,
B13-9173,Paramage scutata,1,,,Paramage scutata,1,Match,,,,,,,,,,,,,
B13-9173,Pectinaria californiensis,1,,,Pectinaria californiensis,1,Match,,,,,,,,,,,,,
B13-9173,Poecilochaetus martini,1,,,Poecilochaetus martini,1,Match,,,,,,,,,,,,,
B13-9173,Polyschides quadrifissatus,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Protomedeia articulata Cmplx,4,3,,Protomedeia articulata Cmplx,1,Match,,,,,,,,,,,,,
B13-9173,Rhachotropis sp A,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Rhepoxynius bicuspidatus,3,,,Rhepoxynius bicuspidatus,3,Match,,,,,,,,,,,,,
B13-9173,Saxicavella nybakkeni,1,1,,,,Match,,,,,,,,,,,,,
B13-9173,Saxicavella pacifica,4,4,,,,Match,,,,,,,,,,,,,
B13-9173,Spiophanes berkeleyorum,1,,,Spiophanes berkeleyorum,1,Match,,,,,,,,,,,,,
B13-9173,Spiophanes duplex,5,,,Spiophanes duplex,5,Match,,,,,,,,,,,,,
B13-9173,Sternaspis affinis,2,,,Sternaspis affinis,2,Match,,,,,,,,,,,,,
B13-9173,Sthenelanella uniformis,2,,,Sthenelanella uniformis,2,Match,,,,,,,,,,,,,
B13-9173,Terebellides californica,1,,,Terebellides californica,1,Match,,,,,,,,,,,,,
B13-9173,Volvulella panamica,1,,,Volvulella panamica,1,Match,,,,,,,,,,,,,
B13-9173,Xenoleberis californica,1,1,,,,Match,,,,,,,,,,,,,
B13-9174,Aglaophamus verrilli,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9174,Aphelochaeta monilaris,22,,,Aphelochaeta monilaris,21,Not Match,Count,,,,,,,,,,,,
B13-9174,Brissopsis sp LA1,2,1,,,,Not Match,ID,,,,,,,,,,,,
B13-9174,Copepoda,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9174,Dentalium vallicolens,4,,,,,Not Match,ID,,,,,,,,,,,,
B13-9174,Eranno bicirrata,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9174,Lumbrineris cruzensis,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9174,Malmgreniella sp,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9174,Nephtys caecoides,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9174,,,,,Aglaophamus erectans,1,Not Match,ID,,,,,,,,,,,,
B13-9174,,,,,Bipalponephtys cornuta,1,Not Match,ID,,,,,,,,,,,,
B13-9174,,,,,Eranno lagunae,1,Not Match,ID,,,,,,,,,,,,
B13-9174,,,,,Lumbrineris sp,1,Not Match,ID,,,,,,,,,,,,
B13-9174,,,,,Malmgreniella scriptoria,1,Not Match,ID,,,,,,,,,,,,
B13-9174,,,,,Rhabdus dalli,4,Not Match,ID,,,,,,,,,,,,
B13-9174,,,,,Spatangus californicus,1,Not Match,ID,,,,,,,,,,,,
B13-9174,,,,,Venerida,1,Not Match,ID,,,,,,,,,,,,
B13-9174,Araphura cuspirostris,2,1,,Araphura cuspirostris,1,Match,,,,,,,,,,,,,
B13-9174,Brisaster townsendi,1,1,,,,Match,,,,,,,,,,,,,
B13-9174,Chaetoderma nanulum,1,,,Chaetoderma nanulum,1,Match,,,,,,,,,,,,,
B13-9174,Chloeia pinnata,6,,,Chloeia pinnata,6,Match,,,,,,,,,,,,,
B13-9174,Diastylis pellucida,1,1,,,,Match,,,,,,,,,,,,,
B13-9174,Glycinde armigera,1,,,Glycinde armigera,1,Match,,,,,,,,,,,,,
B13-9174,Heterophoxus ellisi,1,1,,,,Match,,,,,,,,,,,,,
B13-9174,Macoma carlottensis,7,,,Macoma carlottensis,7,Match,,,,,,,,,,,,,
B13-9174,Melinna heterodonta,2,,,Melinna heterodonta,2,Match,,,,,,,,,,,,,
B13-9174,Nuculana conceptionis,1,,,Nuculana conceptionis,1,Match,,,,,,,,,,,,,
B13-9174,Paraprionospio alata,1,,,Paraprionospio alata,1,Match,,,,,,,,,,,,,
B13-9174,Pectinaria californiensis,2,,,Pectinaria californiensis,2,Match,,,,,,,,,,,,,
B13-9174,Pista wui,1,,,Pista wui,1,Match,,,,,,,,,,,,,
B13-9174,Prionospio (Prionospio) ehlersi,1,,,Prionospio (Prionospio) ehlersi,1,Match,,,,,,,,,,,,,
B13-9174,Rhabdus rectius,2,,,Rhabdus rectius,2,Match,,,,,,,,,,,,,
B13-9174,Saxicavella pacifica,3,,,Saxicavella pacifica,3,Match,,,,,,,,,,,,,
B13-9178,Aphelochaeta monilaris,3,,,Aphelochaeta monilaris,1,Not Match,Count,,,,,,,,,,,,
B13-9178,Aphelochaeta williamsae,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9178,Bivalvia,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9178,Chloeia pinnata,14,,,Chloeia pinnata,13,Not Match,Count,,,,,,,,,,,,
B13-9178,Heteromastus filobranchus,10,,,Heteromastus filobranchus,6,Not Match,Count,,,,,,,,,,,,
B13-9178,Kurtiella tumida,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-9178,Lumbrineris cruzensis,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9178,Macoma carlottensis,15,,,Macoma carlottensis,16,Not Match,Count,,,,,,,,,,,,
B13-9178,Mediomastus sp,2,,,Mediomastus sp,1,Not Match,Count,,,,,,,,,,,,
B13-9178,Melinna heterodonta,6,,,Melinna heterodonta,5,Not Match,Count,,,,,,,,,,,,
B13-9178,Micrura alaskensis,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9178,Phoxocephalidae,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9178,Saccoglossus sp,3,1,,Saccoglossus sp,1,Not Match,Count,,,,,,,,,,,,
B13-9178,Scaphopoda,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9178,,,,,Dentaliida,1,Not Match,ID,,,,,,,,,,,,
B13-9178,,,,,Enteropneusta,1,Not Match,ID,,,,,,,,,,,,
B13-9178,,,,,Heteromastus sp,5,Not Match,ID,,,,,,,,,,,,
B13-9178,,,,,Heterophoxus ellisi,1,Not Match,ID,,,,,,,,,,,,
B13-9178,,,,,Kurtiella compressa,2,Not Match,ID,,,,,,,,,,,,
B13-9178,,,,,Lumbrineris sp,1,Not Match,ID,,,,,,,,,,,,
B13-9178,,,,,Metaphoxus frequens,1,Not Match,ID,,,,,,,,,,,,
B13-9178,,,,,Micrura sp,1,Not Match,ID,,,,,,,,,,,,
B13-9178,Ampelisca unsocalae,1,,,Ampelisca unsocalae,1,Match,,,,,,,,,,,,,
B13-9178,Ancistrosyllis groenlandica,1,,,Ancistrosyllis groenlandica,1,Match,,,,,,,,,,,,,
B13-9178,Arhynchite californicus,1,1,,,,Match,,,,,,,,,,,,,
B13-9178,Bipalponephtys cornuta,2,,,Bipalponephtys cornuta,2,Match,,,,,,,,,,,,,
B13-9178,Brisaster townsendi,1,,,Brisaster townsendi,1,Match,,,,,,,,,,,,,
B13-9178,Cirratulus multioculatus,1,1,,,,Match,,,,,,,,,,,,,
B13-9178,Dentalium vallicolens,2,2,,,,Match,,,,,,,,,,,,,
B13-9178,Falcidens hartmanae,2,,,Falcidens hartmanae,2,Match,,,,,,,,,,,,,
B13-9178,Foxiphalus sp,1,1,,,,Match,,,,,,,,,,,,,
B13-9178,Glycera nana,1,,,Glycera nana,1,Match,,,,,,,,,,,,,
B13-9178,Glycinde armigera,2,,,Glycinde armigera,2,Match,,,,,,,,,,,,,
B13-9178,Hesperonoe laevis,1,,,Hesperonoe laevis,1,Match,,,,,,,,,,,,,
B13-9178,Nuculana conceptionis,2,,,Nuculana conceptionis,2,Match,,,,,,,,,,,,,
B13-9178,Onuphis iridescens,3,3,,,,Match,,,,,,,,,,,,,
B13-9178,Prionospio (Prionospio) ehlersi,2,,,Prionospio (Prionospio) ehlersi,2,Match,,,,,,,,,,,,,
B13-9178,Rhabdus rectius,2,2,,,,Match,,,,,,,,,,,,,
B13-9178,Saxicavella pacifica,14,,,Saxicavella pacifica,14,Match,,,,,,,,,,,,,
B13-9481,Alvania rosana,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Amphiodia psara,3,1,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Amphiura arcystata,33,,,Amphiura arcystata,34,Not Match,Count,,,,,,,,,,,,
B13-9481,Caesia sp,1,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Chaetozone columbiana,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Cylichna diegensis,4,,,Cylichna diegensis,5,Not Match,Count,,,,,,,,,,,,
B13-9481,Glycera nana,2,,,,,Not Match,ID,,,,,,,,,,,,
B13-9481,Kurtiella tumida,142,,,Kurtiella tumida,141,Not Match,Count,,,,,,,,,,,,
