,SITE,ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,QC SPECIES,QC ABUNDANCE,Match/Not Match,Type
43,B13-8328,Sphaerosyllis californiensis,1.0,,Sphaerosyllis californiensis,2.0,No Match,Count
42,B13-8328,Spiochaetopterus costarum Cmplx,2.0,,,,No Match,ID
41,B13-8328,Spiophanes duplex,22.0,,Spiophanes duplex,20.0,No Match,Count
40,B13-8328,Tagelus californianus,8.0,,,,No Match,ID
0,B13-8328,Theora lubrica,7.0,,,,No Match,ID
36,B13-8328,Tubulanus cingulatus,1.0,,,,No Match,ID
35,B13-8328,Tubulanus polymorphus,3.0,,Tubulanus polymorphus,2.0,No Match,Count
39,B13-8328,Veneridae,2.0,,,,No Match,ID
34,B13-8328,Zaolutus actius,1.0,,,,No Match,ID
33,B13-8328,Zeuxo sp,1.0,,,,No Match,ID
333,B13-8328,,,,Acteocina inculta,4.0,No Match,ID
332,B13-8328,,,,Ampelisca agassizi,1.0,No Match,ID
331,B13-8328,,,,Ampharete sp,2.0,No Match,ID
330,B13-8328,,,,Amphiodia sp,1.0,No Match,ID
328,B13-8328,,,,Amphipoda,2.0,No Match,ID
329,B13-8328,,,,Anopla,1.0,No Match,ID
327,B13-8328,,,,Aphelochaeta sp,1.0,No Match,ID
324,B13-8328,,,,Calyptraea fastigiata,1.0,No Match,ID
323,B13-8328,,,,Caprellidae,1.0,No Match,ID
322,B13-8328,,,,Chaetopteridae,2.0,No Match,ID
325,B13-8328,,,,Cossura sp,1.0,No Match,ID
326,B13-8328,,,,Decapoda,2.0,No Match,ID
315,B13-8328,,,,Ericerodes hemphillii,1.0,No Match,ID
316,B13-8328,,,,Flabelligeridae,2.0,No Match,ID
318,B13-8328,,,,Glycera robusta,1.0,No Match,ID
317,B13-8328,,,,Harenactis attenuata,1.0,No Match,ID
319,B13-8328,,,,Leitoscoloplos sp A,1.0,No Match,ID
320,B13-8328,,,,Leptopecten latiauratus,1.0,No Match,ID
321,B13-8328,,,,Lyonsiidae,17.0,No Match,ID
311,B13-8328,,,,Melinna oculata,1.0,No Match,ID
312,B13-8328,,,,Molgula sp SD1,38.0,No Match,ID
313,B13-8328,,,,Notodelphyidae,2.0,No Match,ID
314,B13-8328,,,,Pista sp,6.0,No Match,ID
303,B13-8328,,,,Prionospio (Prionospio) sp,2.0,No Match,ID
301,B13-8328,,,,Protomima imitatrix,42.0,No Match,ID
302,B13-8328,,,,Scolelepis (Parascolelepis) texana,1.0,No Match,ID
304,B13-8328,,,,Scoletoma sp B,1.0,No Match,ID
305,B13-8328,,,,Spiophanes sp,2.0,No Match,ID
306,B13-8328,,,,Tagelus sp,8.0,No Match,ID
307,B13-8328,,,,Tergipedidae,1.0,No Match,ID
309,B13-8328,,,,Venerida,1.0,No Match,ID
308,B13-8328,,,,Veneroidea,5.0,No Match,ID
310,B13-8328,,,,Zeuxo normani,1.0,No Match,ID
93,B13-9173,Aglaophamus verrilli,2.0,,Aglaophamus verrilli,2.0,Match,
165,B13-9173,Ampelisca brevisimulata,1.0,,Ampelisca brevisimulata,1.0,Match,
164,B13-9173,Ampelisca careyi,2.0,,Ampelisca careyi,2.0,Match,
161,B13-9173,Ampelisca pacifica,3.0,,Ampelisca pacifica,3.0,Match,
134,B13-9173,Amphiuridae,2.0,,Amphiuridae,2.0,Match,
128,B13-9173,Anobothrus gracilis,2.0,,Anobothrus gracilis,2.0,Match,
117,B13-9173,Aphelochaeta monilaris,4.0,,Aphelochaeta monilaris,4.0,Match,
100,B13-9173,Byblis millsi,3.0,,Byblis millsi,3.0,Match,
97,B13-9173,Chloeia pinnata,3.0,,Chloeia pinnata,3.0,Match,
96,B13-9173,Clymenura gracilis,1.0,,Clymenura gracilis,1.0,Match,
94,B13-9173,Cossura candida,2.0,,Cossura candida,2.0,Match,
91,B13-9173,Ennucula tenuis,2.0,,Ennucula tenuis,2.0,Match,
170,B13-9173,Glycera nana,2.0,,Glycera nana,2.0,Match,
168,B13-9173,Glycinde armigera,1.0,,Glycinde armigera,1.0,Match,
167,B13-9173,Goniada brunnea,2.0,,Goniada brunnea,2.0,Match,
166,B13-9173,Gymnonereis crosslandi,1.0,,Gymnonereis crosslandi,1.0,Match,
158,B13-9173,Levinsenia gracilis,1.0,,Levinsenia gracilis,1.0,Match,
157,B13-9173,Listriolobus pelodes,4.0,,Listriolobus pelodes,4.0,Match,
153,B13-9173,Lysippe sp,1.0,,Lysippe sp,1.0,Match,
152,B13-9173,Lysippe sp B,1.0,,Lysippe sp B,1.0,Match,
142,B13-9173,Monticellina cryptica,2.0,,Monticellina cryptica,2.0,Match,
141,B13-9173,Monticellina tesselata,2.0,,Monticellina tesselata,2.0,Match,
133,B13-9173,Paramage scutata,1.0,,Paramage scutata,1.0,Match,
132,B13-9173,Pectinaria californiensis,1.0,,Pectinaria californiensis,1.0,Match,
127,B13-9173,Poecilochaetus martini,1.0,,Poecilochaetus martini,1.0,Match,
123,B13-9173,Rhepoxynius bicuspidatus,3.0,,Rhepoxynius bicuspidatus,3.0,Match,
114,B13-9173,Spiophanes berkeleyorum,1.0,,Spiophanes berkeleyorum,1.0,Match,
115,B13-9173,Spiophanes duplex,5.0,,Spiophanes duplex,5.0,Match,
111,B13-9173,Sternaspis affinis,2.0,,Sternaspis affinis,2.0,Match,
110,B13-9173,Sthenelanella uniformis,2.0,,Sthenelanella uniformis,2.0,Match,
108,B13-9173,Terebellides californica,1.0,,Terebellides californica,1.0,Match,
105,B13-9173,Volvulella panamica,1.0,,Volvulella panamica,1.0,Match,
171,B13-9173,ARTHROPODA,1.0,,,,No Match,ID
145,B13-9173,Amphiodia sp,11.0,,Amphiodia sp,6.0,No Match,Count
143,B13-9173,Amphiodia urtica,53.0,,Amphiodia urtica,58.0,No Match,Count
103,B13-9173,Anopla,1.0,,,,No Match,ID
109,B13-9173,Aphelochaeta williamsae,3.0,,,,No Match,ID
102,B13-9173,Asteroidea,1.0,,,,No Match,ID
101,B13-9173,Bathymedon pumilus,1.0,1.0,,,No Match,ID
99,B13-9173,Campylaspis canaliculata,1.0,1.0,,,No Match,ID
98,B13-9173,Ceriantharia,1.0,,,,No Match,ID
95,B13-9173,Compsomyax subdiaphana,1.0,1.0,,,No Match,ID
92,B13-9173,Edwardsia juliae,1.0,,,,No Match,ID
90,B13-9173,Enteropneusta,1.0,,,,No Match,ID
89,B13-9173,Euclymeninae sp A,2.0,,Euclymeninae sp A,3.0,No Match,Count
169,B13-9173,Glycera oxycephala,1.0,1.0,,,No Match,ID
163,B13-9173,Heterophoxus ellisi,8.0,,Heterophoxus ellisi,1.0,No Match,Count
162,B13-9173,Heterophoxus oculatus,6.0,,Heterophoxus oculatus,12.0,No Match,Count
122,B13-9173,Kurtiella tumida,5.0,5.0,,,No Match,ID
160,B13-9173,Kurtzina beta,2.0,2.0,,,No Match,ID
159,B13-9173,Lanassa gracilis,1.0,1.0,,,No Match,ID
156,B13-9173,Lumbrineris cruzensis,3.0,,,,No Match,ID
155,B13-9173,Lumbrineris sp,3.0,,Lumbrineris sp,5.0,No Match,Count
154,B13-9173,Lyonsia californica,1.0,1.0,,,No Match,ID
151,B13-9173,Macoma carlottensis,2.0,2.0,,,No Match,ID
150,B13-9173,Maldane sarsi,1.0,,Maldane sarsi,2.0,No Match,Count
149,B13-9173,Maldanidae,6.0,,,,No Match,ID
148,B13-9173,Malmgreniella sanpedroensis,3.0,,Malmgreniella sanpedroensis,2.0,No Match,Count
147,B13-9173,Malmgreniella sp A,1.0,,,,No Match,ID
146,B13-9173,Mediomastus sp,1.0,,Mediomastus sp,2.0,No Match,Count
144,B13-9173,Metasychis disparidentatus,1.0,,,,No Match,ID
140,B13-9173,Nebalia pugettensis Cmplx,1.0,1.0,,,No Match,ID
139,B13-9173,Nephtys caecoides,2.0,,,,No Match,ID
138,B13-9173,Nephtys ferruginea,1.0,,,,No Match,ID
137,B13-9173,Nicippe tumida,2.0,1.0,Nicippe tumida,1.0,No Match,Count
136,B13-9173,Nuculana sp A,3.0,3.0,,,No Match,ID
135,B13-9173,Ophiura luetkenii,1.0,,,,No Match,ID
131,B13-9173,Petaloclymene pacifica,7.0,,Petaloclymene pacifica,9.0,No Match,Count
130,B13-9173,Pholoe glabra,6.0,,Pholoe glabra,7.0,No Match,Count
129,B13-9173,Pinnixa sp,1.0,,,,No Match,ID
126,B13-9173,Polyschides quadrifissatus,1.0,1.0,,,No Match,ID
125,B13-9173,Protomedeia articulata Cmplx,4.0,3.0,Protomedeia articulata Cmplx,1.0,No Match,Count
124,B13-9173,Rhachotropis sp A,1.0,1.0,,,No Match,ID
121,B13-9173,Saxicavella nybakkeni,1.0,1.0,,,No Match,ID
120,B13-9173,Saxicavella pacifica,4.0,4.0,,,No Match,ID
119,B13-9173,Scoletoma sp,1.0,,Scoletoma sp,6.0,No Match,Count
118,B13-9173,Scoletoma tetraura Cmplx,11.0,,Scoletoma tetraura Cmplx,6.0,No Match,Count
116,B13-9173,Spiochaetopterus costarum Cmplx,9.0,,,,No Match,ID
113,B13-9173,Spiophanes kimballi,4.0,,,,No Match,ID
112,B13-9173,Spiophanes sp,1.0,,Spiophanes sp,3.0,No Match,Count
107,B13-9173,Tubulanus polymorphus,1.0,,,,No Match,ID
106,B13-9173,Virgularia agassizii,1.0,,,,No Match,ID
104,B13-9173,Xenoleberis californica,1.0,1.0,,,No Match,ID
336,B13-9173,,,,Aphelochaeta glandaria Cmplx,2.0,No Match,ID
337,B13-9173,,,,Aphelochaeta sp,4.0,No Match,ID
335,B13-9173,,,,Chaetopteridae,10.0,No Match,ID
334,B13-9173,,,,Decapoda,1.0,No Match,ID
342,B13-9173,,,,Edwardsiidae,1.0,No Match,ID
341,B13-9173,,,,Euclymeninae,3.0,No Match,ID
340,B13-9173,,,,Heterophoxus sp,1.0,No Match,ID
338,B13-9173,,,,Lumbrineridae,1.0,No Match,ID
339,B13-9173,,,,Malmgreniella sp,1.0,No Match,ID
348,B13-9173,,,,Nephtys simoni,3.0,No Match,ID
349,B13-9173,,,,Pinnotheridae,1.0,No Match,ID
343,B13-9173,,,,Sipuncula,1.0,No Match,ID
344,B13-9173,,,,Stylatula elongata,1.0,No Match,ID
345,B13-9173,,,,Tubulanidae sp C,1.0,No Match,ID
346,B13-9173,,,,Virgularia sp,1.0,No Match,ID
347,B13-9173,,,,Zygeupolia rubens,1.0,No Match,ID
181,B13-9174,Chaetoderma nanulum,1.0,,Chaetoderma nanulum,1.0,Match,
176,B13-9174,Chloeia pinnata,6.0,,Chloeia pinnata,6.0,Match,
196,B13-9174,Glycinde armigera,1.0,,Glycinde armigera,1.0,Match,
193,B13-9174,Macoma carlottensis,7.0,,Macoma carlottensis,7.0,Match,
191,B13-9174,Melinna heterodonta,2.0,,Melinna heterodonta,2.0,Match,
189,B13-9174,Nuculana conceptionis,1.0,,Nuculana conceptionis,1.0,Match,
188,B13-9174,Paraprionospio alata,1.0,,Paraprionospio alata,1.0,Match,
187,B13-9174,Pectinaria californiensis,2.0,,Pectinaria californiensis,2.0,Match,
186,B13-9174,Pista wui,1.0,,Pista wui,1.0,Match,
185,B13-9174,Prionospio (Prionospio) ehlersi,1.0,,Prionospio (Prionospio) ehlersi,1.0,Match,
184,B13-9174,Rhabdus rectius,2.0,,Rhabdus rectius,2.0,Match,
183,B13-9174,Saxicavella pacifica,3.0,,Saxicavella pacifica,3.0,Match,
175,B13-9174,Aglaophamus verrilli,1.0,,,,No Match,ID
182,B13-9174,Aphelochaeta monilaris,22.0,,Aphelochaeta monilaris,21.0,No Match,Count
180,B13-9174,Araphura cuspirostris,2.0,1.0,Araphura cuspirostris,1.0,No Match,Count
179,B13-9174,Brisaster townsendi,1.0,1.0,,,No Match,ID
178,B13-9174,Brissopsis sp LA1,2.0,1.0,,,No Match,ID
177,B13-9174,Copepoda,1.0,,,,No Match,ID
174,B13-9174,Dentalium vallicolens,4.0,,,,No Match,ID
173,B13-9174,Diastylis pellucida,1.0,1.0,,,No Match,ID
172,B13-9174,Eranno bicirrata,1.0,,,,No Match,ID
195,B13-9174,Heterophoxus ellisi,1.0,1.0,,,No Match,ID
194,B13-9174,Lumbrineris cruzensis,1.0,,,,No Match,ID
192,B13-9174,Malmgreniella sp,1.0,,,,No Match,ID
190,B13-9174,Nephtys caecoides,1.0,,,,No Match,ID
356,B13-9174,,,,Aglaophamus erectans,1.0,No Match,ID
357,B13-9174,,,,Bipalponephtys cornuta,1.0,No Match,ID
353,B13-9174,,,,Eranno lagunae,1.0,No Match,ID
355,B13-9174,,,,Lumbrineris sp,1.0,No Match,ID
354,B13-9174,,,,Malmgreniella scriptoria,1.0,No Match,ID
351,B13-9174,,,,Rhabdus dalli,4.0,No Match,ID
352,B13-9174,,,,Spatangus californicus,1.0,No Match,ID
350,B13-9174,,,,Venerida,1.0,No Match,ID
221,B13-9178,Ampelisca unsocalae,1.0,,Ampelisca unsocalae,1.0,Match,
213,B13-9178,Ancistrosyllis groenlandica,1.0,,Ancistrosyllis groenlandica,1.0,Match,
215,B13-9178,Bipalponephtys cornuta,2.0,,Bipalponephtys cornuta,2.0,Match,
201,B13-9178,Brisaster townsendi,1.0,,Brisaster townsendi,1.0,Match,
227,B13-9178,Falcidens hartmanae,2.0,,Falcidens hartmanae,2.0,Match,
225,B13-9178,Glycera nana,1.0,,Glycera nana,1.0,Match,
224,B13-9178,Glycinde armigera,2.0,,Glycinde armigera,2.0,Match,
223,B13-9178,Hesperonoe laevis,1.0,,Hesperonoe laevis,1.0,Match,
214,B13-9178,Nuculana conceptionis,2.0,,Nuculana conceptionis,2.0,Match,
211,B13-9178,Prionospio (Prionospio) ehlersi,2.0,,Prionospio (Prionospio) ehlersi,2.0,Match,
208,B13-9178,Saxicavella pacifica,14.0,,Saxicavella pacifica,14.0,Match,
206,B13-9178,Aphelochaeta monilaris,3.0,,Aphelochaeta monilaris,1.0,No Match,Count
205,B13-9178,Aphelochaeta williamsae,1.0,,,,No Match,ID
203,B13-9178,Arhynchite californicus,1.0,1.0,,,No Match,ID
202,B13-9178,Bivalvia,1.0,,,,No Match,ID
200,B13-9178,Chloeia pinnata,14.0,,Chloeia pinnata,13.0,No Match,Count
199,B13-9178,Cirratulus multioculatus,1.0,1.0,,,No Match,ID
198,B13-9178,Dentalium vallicolens,2.0,2.0,,,No Match,ID
226,B13-9178,Foxiphalus sp,1.0,1.0,,,No Match,ID
222,B13-9178,Heteromastus filobranchus,10.0,,Heteromastus filobranchus,6.0,No Match,Count
209,B13-9178,Kurtiella tumida,2.0,,,,No Match,ID
219,B13-9178,Lumbrineris cruzensis,1.0,,,,No Match,ID
218,B13-9178,Macoma carlottensis,15.0,,Macoma carlottensis,16.0,No Match,Count
217,B13-9178,Mediomastus sp,2.0,,Mediomastus sp,1.0,No Match,Count
216,B13-9178,Melinna heterodonta,6.0,,Melinna heterodonta,5.0,No Match,Count
220,B13-9178,Micrura alaskensis,1.0,,,,No Match,ID
197,B13-9178,Onuphis iridescens,3.0,3.0,,,No Match,ID
212,B13-9178,Phoxocephalidae,1.0,,,,No Match,ID
210,B13-9178,Rhabdus rectius,2.0,2.0,,,No Match,ID
204,B13-9178,Saccoglossus sp,3.0,1.0,Saccoglossus sp,1.0,No Match,Count
207,B13-9178,Scaphopoda,1.0,,,,No Match,ID
358,B13-9178,,,,Dentaliida,1.0,No Match,ID
363,B13-9178,,,,Enteropneusta,1.0,No Match,ID
362,B13-9178,,,,Heteromastus sp,5.0,No Match,ID
361,B13-9178,,,,Heterophoxus ellisi,1.0,No Match,ID
360,B13-9178,,,,Kurtiella compressa,2.0,No Match,ID
359,B13-9178,,,,Lumbrineris sp,1.0,No Match,ID
365,B13-9178,,,,Metaphoxus frequens,1.0,No Match,ID
364,B13-9178,,,,Micrura sp,1.0,No Match,ID
233,B13-9481,Aglaophamus verrilli,1.0,,Aglaophamus verrilli,1.0,Match,
289,B13-9481,Ampelisca agassizi,4.0,,Ampelisca agassizi,4.0,Match,
288,B13-9481,Ampelisca cristata cristata,5.0,,Ampelisca cristata cristata,5.0,Match,
275,B13-9481,Amphioplus sp A,2.0,,Amphioplus sp A,2.0,Match,
239,B13-9481,Aricidea (Acmira) horikoshii,2.0,,Aricidea (Acmira) horikoshii,2.0,Match,
238,B13-9481,Ceriantharia,1.0,,Ceriantharia,1.0,Match,
235,B13-9481,Compsomyax subdiaphana,2.0,,Compsomyax subdiaphana,2.0,Match,
236,B13-9481,Dialychone albocincta,1.0,,Dialychone albocincta,1.0,Match,
231,B13-9481,Euclymeninae,1.0,,Euclymeninae,1.0,Match,
300,B13-9481,Euphilomedes carcharodonta,2.0,,Euphilomedes carcharodonta,2.0,Match,
298,B13-9481,Exogone lourei,1.0,,Exogone lourei,1.0,Match,
297,B13-9481,Foxiphalus obtusidens,1.0,,Foxiphalus obtusidens,1.0,Match,
296,B13-9481,Gadila aberrans,8.0,,Gadila aberrans,8.0,Match,
295,B13-9481,Gammaropsis thompsoni,1.0,,Gammaropsis thompsoni,1.0,Match,
294,B13-9481,Glottidia albida,1.0,,Glottidia albida,1.0,Match,
293,B13-9481,Glycera americana,1.0,,Glycera americana,1.0,Match,
291,B13-9481,Glycinde armigera,1.0,,Glycinde armigera,1.0,Match,
290,B13-9481,Goniada maculata,4.0,,Goniada maculata,4.0,Match,
251,B13-9481,Kurtiella compressa,1.0,,Kurtiella compressa,1.0,Match,
286,B13-9481,Kurtzina beta,1.0,,Kurtzina beta,1.0,Match,
284,B13-9481,Leptochelia dubia Cmplx,1.0,,Leptochelia dubia Cmplx,1.0,Match,
283,B13-9481,Lumbrineris japonica,1.0,,Lumbrineris japonica,1.0,Match,
276,B13-9481,Monticellina cryptica,2.0,,Monticellina cryptica,2.0,Match,
272,B13-9481,Nephtys caecoides,2.0,,Nephtys caecoides,2.0,Match,
271,B13-9481,Nephtys ferruginea,1.0,,Nephtys ferruginea,1.0,Match,
270,B13-9481,Nuculana taphria,3.0,,Nuculana taphria,3.0,Match,
268,B13-9481,Onuphis sp A,1.0,,Onuphis sp A,1.0,Match,
266,B13-9481,Paranemertes californica,1.0,,Paranemertes californica,1.0,Match,
265,B13-9481,Paraprionospio alata,1.0,,Paraprionospio alata,1.0,Match,
264,B13-9481,Parvilucina tenuisculpta,1.0,,Parvilucina tenuisculpta,1.0,Match,
263,B13-9481,Pectinaria californiensis,1.0,,Pectinaria californiensis,1.0,Match,
261,B13-9481,Pholoe glabra,9.0,,Pholoe glabra,9.0,Match,
259,B13-9481,Pista wui,2.0,,Pista wui,2.0,Match,
257,B13-9481,Prionospio (Minuspio) lighti,43.0,,Prionospio (Minuspio) lighti,43.0,Match,
256,B13-9481,Prionospio (Prionospio) jubata,2.0,,Prionospio (Prionospio) jubata,2.0,Match,
253,B13-9481,Rhepoxynius stenodes,12.0,,Rhepoxynius stenodes,12.0,Match,
246,B13-9481,Spiochaetopterus costarum Cmplx,7.0,,Spiochaetopterus costarum Cmplx,7.0,Match,
244,B13-9481,Spiophanes duplex,1.0,,Spiophanes duplex,1.0,Match,
245,B13-9481,Spiophanes norrisi,1.0,,Spiophanes norrisi,1.0,Match,
243,B13-9481,Tellina modesta,17.0,,Tellina modesta,17.0,Match,
241,B13-9481,Volvulella panamica,1.0,,Volvulella panamica,1.0,Match,
240,B13-9481,Westwoodilla tone,1.0,,Westwoodilla tone,1.0,Match,
299,B13-9481,Alvania rosana,1.0,,,,No Match,ID
277,B13-9481,Amphiodia psara,3.0,1.0,,,No Match,ID
267,B13-9481,Amphiura arcystata,33.0,,Amphiura arcystata,34.0,No Match,Count
229,B13-9481,Asteropella slatteryi,3.0,2.0,Asteropella slatteryi,1.0,No Match,Count
228,B13-9481,Caesia sp,1.0,,,,No Match,ID
237,B13-9481,Chaetozone columbiana,2.0,,,,No Match,ID
234,B13-9481,Cylichna diegensis,4.0,,Cylichna diegensis,5.0,No Match,Count
232,B13-9481,Ensis myrae,1.0,1.0,,,No Match,ID
292,B13-9481,Glycera nana,2.0,,,,No Match,ID
287,B13-9481,Heteronemertea,1.0,,,,No Match,ID
250,B13-9481,Kurtiella tumida,142.0,,Kurtiella tumida,141.0,No Match,Count
285,B13-9481,Leitoscoloplos pugettensis,2.0,,,,No Match,ID
282,B13-9481,Macoma yoldiformis,3.0,,,,No Match,ID
281,B13-9481,Magelona berkeleyi,10.0,,Magelona berkeleyi,8.0,No Match,Count
280,B13-9481,Magelona sacculata,1.0,,Magelona sacculata,2.0,No Match,Count
279,B13-9481,Malmgreniella baschi,6.0,,,,No Match,ID
278,B13-9481,Mediomastus sp,24.0,,Mediomastus sp,26.0,No Match,Count
274,B13-9481,Monticellina siblina,4.0,,Monticellina siblina,5.0,No Match,Count
273,B13-9481,Nebalia daytoni,1.0,1.0,,,No Match,ID
269,B13-9481,Oligochaeta,3.0,,,,No Match,ID
262,B13-9481,Pennatulacea,1.0,,,,No Match,ID
260,B13-9481,Pilargis sp B,1.0,1.0,,,No Match,ID
258,B13-9481,Poecilochaetus johnsoni,7.0,,Poecilochaetus johnsoni,6.0,No Match,Count
230,B13-9481,Porichthys sp,1.0,1.0,,,No Match,ID
255,B13-9481,Rhepoxynius bicuspidatus,9.0,,Rhepoxynius bicuspidatus,7.0,No Match,Count
254,B13-9481,Rhepoxynius menziesi,3.0,,Rhepoxynius menziesi,2.0,No Match,Count
252,B13-9481,Rhepoxynius variatus,47.0,21.0,Rhepoxynius variatus,22.0,No Match,Count
249,B13-9481,Rutiderma rostratum,1.0,,,,No Match,ID
