ORIGINAL SPECIES,ORIGINAL ABUNDANCE,ORIGINAL VOUCHER,SITE
Scoletoma tetraura Cmplx,11,,B13-9173
Scoletoma sp,1,,B13-9173
Saxicavella pacifica,4,4,B13-9173
Saxicavella nybakkeni,1,1,B13-9173
Kurtiella tumida,5,5,B13-9173
Rhepoxynius bicuspidatus,3,,B13-9173
Rhachotropis sp A,1,1,B13-9173
Protomedeia articulata Cmplx,4,3,B13-9173
Polyschides quadrifissatus,1,1,B13-9173
Poecilochaetus martini,1,,B13-9173
Anobothrus gracilis,2,,B13-9173
Pinnixa sp,1,,B13-9173
Pholoe glabra,6,,B13-9173
Petaloclymene pacifica,7,,B13-9173
Pectinaria californiensis,1,,B13-9173
Paramage scutata,1,,B13-9173
Amphiuridae,2,,B13-9173
Ophiura luetkenii,1,,B13-9173
Nuculana sp A,3,3,B13-9173
Nicippe tumida,2,1,B13-9173
Nephtys ferruginea,1,,B13-9173
Nephtys caecoides,2,,B13-9173
Nebalia pugettensis Cmplx,1,1,B13-9173
Monticellina tesselata,2,,B13-9173
Monticellina cryptica,2,,B13-9173
Amphiodia urtica,53,,B13-9173
Metasychis disparidentatus,1,,B13-9173
Amphiodia sp,11,,B13-9173
Mediomastus sp,1,,B13-9173
Malmgreniella sp A,1,,B13-9173
Malmgreniella sanpedroensis,3,,B13-9173
Maldanidae,6,,B13-9173
Maldane sarsi,1,,B13-9173
Macoma carlottensis,2,2,B13-9173
Lysippe sp B,1,,B13-9173
Lysippe sp,1,,B13-9173
Lyonsia californica,1,1,B13-9173
Lumbrineris sp,3,,B13-9173
Lumbrineris cruzensis,3,,B13-9173
Listriolobus pelodes,4,,B13-9173
Levinsenia gracilis,1,,B13-9173
Lanassa gracilis,1,1,B13-9173
Kurtzina beta,2,2,B13-9173
Ampelisca pacifica,3,,B13-9173
Heterophoxus oculatus,6,,B13-9173
Heterophoxus ellisi,8,,B13-9173
Ampelisca careyi,2,,B13-9173
Ampelisca brevisimulata,1,,B13-9173
Gymnonereis crosslandi,1,,B13-9173
Goniada brunnea,2,,B13-9173
Glycinde armigera,1,,B13-9173
Glycera oxycephala,1,1,B13-9173
Glycera nana,2,,B13-9173
ARTHROPODA,1,,B13-9173
Eranno bicirrata,1,,B13-9174
Diastylis pellucida,1,1,B13-9174
Dentalium vallicolens,4,,B13-9174
Aglaophamus verrilli,1,,B13-9174
Chloeia pinnata,6,,B13-9174
Copepoda,1,,B13-9174
Brissopsis sp LA1,2,1,B13-9174
Brisaster townsendi,1,1,B13-9174
Araphura cuspirostris,2,1,B13-9174
Chaetoderma nanulum,1,,B13-9174
Aphelochaeta monilaris,22,,B13-9174
Saxicavella pacifica,3,,B13-9174
Rhabdus rectius,2,,B13-9174
Prionospio (Prionospio) ehlersi,1,,B13-9174
Pista wui,1,,B13-9174
Pectinaria californiensis,2,,B13-9174
Paraprionospio alata,1,,B13-9174
Nuculana conceptionis,1,,B13-9174
Nephtys caecoides,1,,B13-9174
Melinna heterodonta,2,,B13-9174
Malmgreniella sp,1,,B13-9174
Macoma carlottensis,7,,B13-9174
Lumbrineris cruzensis,1,,B13-9174
Heterophoxus ellisi,1,1,B13-9174
Glycinde armigera,1,,B13-9174
Onuphis iridescens,3,3,B13-9178
Dentalium vallicolens,2,2,B13-9178
Cirratulus multioculatus,1,1,B13-9178
Chloeia pinnata,14,,B13-9178
Brisaster townsendi,1,,B13-9178
Bivalvia,1,,B13-9178
Arhynchite californicus,1,1,B13-9178
Saccoglossus sp,3,1,B13-9178
Aphelochaeta williamsae,1,,B13-9178
Aphelochaeta monilaris,3,,B13-9178
Scaphopoda,1,,B13-9178
Saxicavella pacifica,14,,B13-9178
Kurtiella tumida,2,,B13-9178
Rhabdus rectius,2,2,B13-9178
Prionospio (Prionospio) ehlersi,2,,B13-9178
Phoxocephalidae,1,,B13-9178
Ancistrosyllis groenlandica,1,,B13-9178
Nuculana conceptionis,2,,B13-9178
Bipalponephtys cornuta,2,,B13-9178
Melinna heterodonta,6,,B13-9178
Mediomastus sp,2,,B13-9178
Macoma carlottensis,15,,B13-9178
Lumbrineris cruzensis,1,,B13-9178
Micrura alaskensis,1,,B13-9178
Ampelisca unsocalae,1,,B13-9178
Heteromastus filobranchus,10,,B13-9178
Hesperonoe laevis,1,,B13-9178
Glycinde armigera,2,,B13-9178
Glycera nana,1,,B13-9178
Foxiphalus sp,1,1,B13-9178
Falcidens hartmanae,2,,B13-9178
Caesia sp,1,,B13-9481
Asteropella slatteryi,3,2,B13-9481
Porichthys sp,1,1,B13-9481
Euclymeninae,1,,B13-9481
Ensis myrae,1,1,B13-9481
Aglaophamus verrilli,1,,B13-9481
Cylichna diegensis,4,,B13-9481
Compsomyax subdiaphana,2,,B13-9481
Dialychone albocincta,1,,B13-9481
Chaetozone columbiana,2,,B13-9481
Ceriantharia,1,,B13-9481
Aricidea (Acmira) horikoshii,2,,B13-9481
Westwoodilla tone,1,,B13-9481
Volvulella panamica,1,,B13-9481
Tubulanus polymorphus,2,,B13-9481
Tellina modesta,17,,B13-9481
Spiophanes duplex,1,,B13-9481
Spiophanes norrisi,1,,B13-9481
Spiochaetopterus costarum Cmplx,7,,B13-9481
Sinum scopulosum,1,1,B13-9481
Scoloplos acmeceps,1,,B13-9481
Rutiderma rostratum,1,,B13-9481
Kurtiella tumida,142,,B13-9481
Kurtiella compressa,1,,B13-9481
Rhepoxynius variatus,47,21,B13-9481
Rhepoxynius stenodes,12,,B13-9481
Rhepoxynius menziesi,3,,B13-9481
Rhepoxynius bicuspidatus,9,,B13-9481
Prionospio (Prionospio) jubata,2,,B13-9481
Prionospio (Minuspio) lighti,43,,B13-9481
Poecilochaetus johnsoni,7,,B13-9481
Pista wui,2,,B13-9481
Pilargis sp B,1,1,B13-9481
Pholoe glabra,9,,B13-9481
Pennatulacea,1,,B13-9481
Pectinaria californiensis,1,,B13-9481
Parvilucina tenuisculpta,1,,B13-9481
Paraprionospio alata,1,,B13-9481
Paranemertes californica,1,,B13-9481
Amphiura arcystata,33,,B13-9481
Onuphis sp A,1,,B13-9481
Oligochaeta,3,,B13-9481
Nuculana taphria,3,,B13-9481
Nephtys ferruginea,1,,B13-9481
Nephtys caecoides,2,,B13-9481
Nebalia daytoni,1,1,B13-9481
Monticellina siblina,4,,B13-9481
Amphioplus sp A,2,,B13-9481
Monticellina cryptica,2,,B13-9481
Amphiodia psara,3,1,B13-9481
Mediomastus sp,24,,B13-9481
Malmgreniella baschi,6,,B13-9481
Magelona sacculata,1,,B13-9481
Magelona berkeleyi,10,,B13-9481
Macoma yoldiformis,3,,B13-9481
Lumbrineris japonica,1,,B13-9481
Leptochelia dubia Cmplx,1,,B13-9481
Leitoscoloplos pugettensis,2,,B13-9481
Kurtzina beta,1,,B13-9481
Heteronemertea,1,,B13-9481
Ampelisca cristata cristata,5,,B13-9481
Ampelisca agassizi,4,,B13-9481
Goniada maculata,4,,B13-9481
Glycinde armigera,1,,B13-9481
Glycera nana,2,,B13-9481
Glycera americana,1,,B13-9481
Glottidia albida,1,,B13-9481
Gammaropsis thompsoni,1,,B13-9481
Gadila aberrans,8,,B13-9481
Foxiphalus obtusidens,1,,B13-9481
Exogone lourei,1,,B13-9481
Alvania rosana,1,,B13-9481
Euphilomedes carcharodonta,2,,B13-9481
